i;t;s;bs;T;
263;9.835;2965.47;2959.99;72.9;
264;9.849;2968.23;2959.99;72.9;
265;9.863;2968.46;2959.99;72.9;
266;9.88;2964.07;2959.99;72.9;
267;9.895;2964.07;2959.99;72.9;
268;9.911;2966.41;2959.99;72.9;
269;9.923;2967.05;2959.99;72.9;
270;9.938;2966.15;2959.99;72.9;
271;9.949;2962.04;2959.99;72.9;
272;10.032;2873.94;2873.94;72.9;
273;10.052;2874.83;2873.94;72.9;
274;10.134;2871.36;2871.36;72.9;
275;10.15;2872.9;2871.36;65.61;
276;10.17;2873.37;2871.36;65.61;
277;10.256;2869.69;2869.69;65.61;
278;10.267;2872.91;2869.69;65.61;
279;10.283;2870.76;2869.69;65.61;
280;10.298;2871.77;2869.69;65.61;
281;10.314;2870.88;2869.69;65.61;
282;10.327;2870.38;2869.69;65.61;
283;10.344;2874.06;2869.69;65.61;
284;10.36;2874.95;2869.69;65.61;
285;10.374;2874.88;2869.69;65.61;
286;10.389;2875.54;2869.69;65.61;
287;10.402;2875.54;2869.69;65.61;
288;10.417;2879.01;2869.69;65.61;
289;10.429;2878.41;2869.69;65.61;
290;10.447;2878.41;2869.69;65.61;
291;10.461;2879.28;2869.69;65.61;
292;10.475;2878.39;2869.69;65.61;
293;10.49;2878.39;2869.69;65.61;
294;10.503;2877.38;2869.69;65.61;
295;10.515;2874.16;2869.69;65.61;
296;10.526;2870.69;2869.69;65.61;
297;10.544;2872.84;2869.69;65.61;
298;10.557;2876.31;2869.69;65.61;
299;10.57;2872.84;2869.69;65.61;
300;10.58;2871.99;2869.69;65.61;
301;10.6;2869.84;2869.69;65.61;
302;10.619;2869.9;2869.69;65.61;
303;10.633;2873.72;2869.69;65.61;
304;10.651;2886.78;2869.69;65.61;
305;10.666;2883.3;2869.69;65.61;
306;10.681;2887.16;2869.69;65.61;
307;10.696;2886.44;2869.69;65.61;
308;10.71;2873.38;2869.69;65.61;
309;10.722;2872.67;2869.69;65.61;
310;10.739;2876.45;2869.69;65.61;
311;10.754;2877.17;2869.69;65.61;
312;10.765;2875.46;2869.69;65.61;
313;10.781;2874.03;2869.69;65.61;
314;10.795;2870.35;2869.69;65.61;
315;10.807;2870.35;2869.69;65.61;
316;10.891;2869.46;2869.46;65.61;
317;10.968;2865.68;2865.68;65.61;
318;10.985;2865.74;2865.68;65.61;
319;10.996;2865.74;2865.68;65.61;
320;11.011;2865.74;2865.68;65.61;
321;11.092;2865.44;2865.44;65.61;
322;11.169;2861.78;2861.78;65.61;
323;11.251;2860.21;2860.21;65.61;
324;11.266;2860.75;2860.21;65.61;
325;11.276;2863.24;2860.21;65.61;
326;11.291;2864.25;2860.21;65.61;
327;11.303;2865.08;2860.21;65.61;
328;11.316;2864.37;2860.21;65.61;
329;11.328;2864.45;2860.21;65.61;
330;11.344;2869.19;2860.21;65.61;
331;11.358;2868.47;2860.21;65.61;
332;11.373;2868.39;2860.21;65.61;
333;11.388;2865.16;2860.21;65.61;
334;11.399;2861.63;2860.21;65.61;
335;11.413;2861.63;2860.21;65.61;
336;11.423;2862.51;2860.21;65.61;
337;11.439;2860.52;2860.21;65.61;
338;11.451;2864.73;2860.21;65.61;
339;11.464;2864.18;2860.21;65.61;
340;11.479;2864.27;2860.21;65.61;
341;11.491;2864.18;2860.21;65.61;
342;11.506;2861.69;2860.21;65.61;
343;11.517;2865.12;2860.21;65.61;
344;11.533;2862.75;2860.21;59.049;
345;11.549;2862.84;2860.21;59.049;
346;11.627;2859.71;2859.71;59.049;
347;11.709;2859.49;2859.49;59.049;
348;11.723;2859.49;2859.49;59.049;
349;11.735;2859.49;2859.49;59.049;
350;11.756;2863.4;2859.49;59.049;
351;11.768;2863.63;2859.49;59.049;
352;11.792;2863.63;2859.49;59.049;
353;11.883;2859.43;2859.43;59.049;
354;11.963;2855.75;2855.75;59.049;
355;12.042;2855.29;2855.29;59.049;
356;12.053;2855.46;2855.29;59.049;
357;12.135;2853.11;2853.11;59.049;
358;12.146;2853.11;2853.11;59.049;
359;12.237;2852.85;2852.85;59.049;
360;12.251;2853.39;2852.85;59.049;
361;12.264;2853.39;2852.85;59.049;
362;12.347;2847.48;2847.48;59.049;
363;12.429;2846.6;2846.6;59.049;
364;12.444;2847.06;2846.6;59.049;
365;12.525;2840.86;2840.86;59.049;
366;12.539;2844.79;2840.86;59.049;
367;12.551;2848.76;2840.86;59.049;
368;12.57;2843.81;2840.86;59.049;
369;12.584;2844.56;2840.86;59.049;
370;12.602;2844.56;2840.86;59.049;
371;12.617;2850.34;2840.86;59.049;
372;12.63;2849.59;2840.86;59.049;
373;12.643;2850.42;2840.86;59.049;
374;12.659;2845.17;2840.86;59.049;
375;12.674;2841.78;2840.86;59.049;
376;12.69;2841.78;2840.86;59.049;
377;12.703;2853.58;2840.86;59.049;
378;12.718;2851.3;2840.86;59.049;
379;12.736;2852.05;2840.86;59.049;
380;12.747;2852.05;2840.86;59.049;
381;12.761;2852.05;2840.86;59.049;
382;12.773;2852.05;2840.86;59.049;
383;12.789;2852.05;2840.86;59.049;
384;12.8;2851.3;2840.86;59.049;
385;12.814;2851.08;2840.86;59.049;
386;12.825;2851.35;2840.86;59.049;
387;12.84;2851.08;2840.86;59.049;
388;12.855;2851.3;2840.86;59.049;
389;12.868;2851.56;2840.86;59.049;
390;12.883;2851.3;2840.86;59.049;
391;12.895;2852.75;2840.86;59.049;
392;12.908;2857.6;2840.86;59.049;
393;12.991;2835.01;2835.01;59.049;
394;13.073;2829.94;2829.94;59.049;
395;13.092;2832.47;2829.94;59.049;
396;13.107;2831.7;2829.94;59.049;
397;13.19;2829.17;2829.17;59.049;
398;13.272;2826.2;2826.2;59.049;
399;13.354;2825.45;2825.45;59.049;
400;13.435;2822.23;2822.23;59.049;
401;13.448;2822.23;2822.23;59.049;
402;13.532;2819.96;2819.96;59.049;
403;13.544;2820.22;2819.96;59.049;
404;13.622;2818.77;2818.77;59.049;
405;13.638;2824.54;2818.77;59.049;
406;13.652;2824.37;2818.77;59.049;
407;13.664;2824.14;2818.77;59.049;
408;13.679;2826.48;2818.77;59.049;
409;13.696;2820.59;2818.77;59.049;
410;13.713;2824.27;2818.77;59.049;
411;13.73;2824.04;2818.77;59.049;
412;13.745;2820.13;2818.77;53.1441;
413;13.826;2816.74;2816.74;53.1441;
414;13.845;2816.74;2816.74;53.1441;
415;13.929;2816.42;2816.42;53.1441;
416;14.013;2813.82;2813.82;53.1441;
417;14.1;2811.47;2811.47;53.1441;
418;14.113;2815.32;2811.47;53.1441;
419;14.131;2815.32;2811.47;53.1441;
420;14.143;2816.07;2811.47;53.1441;
421;14.231;2809.93;2809.93;53.1441;
422;14.243;2812.59;2809.93;53.1441;
423;14.263;2812.25;2809.93;53.1441;
424;14.345;2807.23;2807.23;53.1441;
425;14.435;2805.48;2805.48;53.1441;
426;14.451;2805.48;2805.48;53.1441;
427;14.465;2811.71;2805.48;53.1441;
428;14.484;2811.71;2805.48;53.1441;
429;14.499;2811.71;2805.48;53.1441;
430;14.518;2805.48;2805.48;53.1441;
431;14.533;2805.48;2805.48;53.1441;
432;14.548;2805.51;2805.48;53.1441;
433;14.569;2809.3;2805.48;53.1441;
434;14.584;2809.3;2805.48;53.1441;
435;14.604;2809.3;2805.48;53.1441;
436;14.619;2811.79;2805.48;53.1441;
437;14.639;2811.79;2805.48;53.1441;
438;14.65;2811.79;2805.48;53.1441;
439;14.667;2812.25;2805.48;53.1441;
440;14.686;2827.09;2805.48;53.1441;
441;14.701;2819.06;2805.48;53.1441;
442;14.712;2826.91;2805.48;53.1441;
443;14.731;2826.91;2805.48;53.1441;
444;14.748;2826.17;2805.48;53.1441;
445;14.768;2825.82;2805.48;53.1441;
446;14.783;2827.77;2805.48;53.1441;
447;14.796;2807.69;2805.48;53.1441;
448;14.812;2815.51;2805.48;53.1441;
449;14.899;2801.09;2801.09;53.1441;
450;14.912;2812.86;2801.09;53.1441;
451;14.925;2811.87;2801.09;53.1441;
452;14.941;2810.97;2801.09;53.1441;
453;14.952;2811.25;2801.09;53.1441;
454;14.966;2810.97;2801.09;53.1441;
455;14.984;2810.42;2801.09;53.1441;
456;15.003;2811.27;2801.09;53.1441;
457;15.013;2810.56;2801.09;53.1441;
458;15.034;2810.84;2801.09;53.1441;
459;15.048;2811.55;2801.09;53.1441;
460;15.062;2823.18;2801.09;53.1441;
461;15.083;2822.9;2801.09;53.1441;
462;15.101;2822.19;2801.09;53.1441;
463;15.116;2820.71;2801.09;53.1441;
464;15.135;2820.98;2801.09;53.1441;
465;15.146;2822.01;2801.09;53.1441;
466;15.165;2822.78;2801.09;53.1441;
467;15.178;2822.78;2801.09;53.1441;
468;15.197;2822.89;2801.09;53.1441;
469;15.28;2795.83;2795.83;53.1441;
470;15.364;2784.2;2784.2;53.1441;
471;15.445;2783.93;2783.93;53.1441;
472;15.459;2784.36;2783.93;53.1441;
473;15.541;2781.11;2781.11;53.1441;
474;15.552;2781.11;2781.11;53.1441;
475;15.634;2780.83;2780.83;53.1441;
476;15.713;2775.17;2775.17;53.1441;
477;15.728;2775.45;2775.17;53.1441;
478;15.812;2774.63;2774.63;53.1441;
479;15.825;2775.21;2774.63;47.8297;
480;15.843;2776.78;2774.63;47.8297;
481;15.862;2777.34;2774.63;47.8297;
482;15.881;2777.16;2774.63;47.8297;
483;15.893;2777.43;2774.63;47.8297;
484;15.905;2779.78;2774.63;47.8297;
485;15.923;2779.22;2774.63;47.8297;
486;15.939;2780.68;2774.63;47.8297;
487;15.953;2779.91;2774.63;47.8297;
488;15.97;2780.47;2774.63;47.8297;
489;15.982;2780.19;2774.63;47.8297;
490;15.997;2780.65;2774.63;47.8297;
491;16.015;2779.93;2774.63;47.8297;
492;16.031;2779.62;2774.63;47.8297;
493;16.049;2783.46;2774.63;47.8297;
494;16.063;2784.2;2774.63;47.8297;
495;16.075;2784.96;2774.63;47.8297;
496;16.095;2784.5;2774.63;47.8297;
497;16.112;2784.31;2774.63;47.8297;
498;16.132;2784.59;2774.63;47.8297;
499;16.144;2780.75;2774.63;47.8297;
500;16.161;2780.04;2774.63;47.8297;
501;16.178;2780.04;2774.63;47.8297;
502;16.194;2780.22;2774.63;47.8297;
503;16.207;2780.22;2774.63;47.8297;
504;16.22;2780.22;2774.63;47.8297;
505;16.233;2779.46;2774.63;47.8297;
506;16.249;2779.18;2774.63;47.8297;
507;16.265;2776.83;2774.63;47.8297;
508;16.276;2776.52;2774.63;47.8297;
509;16.292;2776.83;2774.63;47.8297;
510;16.303;2776.83;2774.63;47.8297;
511;16.32;2776.83;2774.63;47.8297;
512;16.331;2776.83;2774.63;47.8297;
513;16.346;2779.32;2774.63;47.8297;
514;16.36;2778.37;2774.63;47.8297;
515;16.375;2778.37;2774.63;47.8297;
516;16.387;2778.37;2774.63;47.8297;
517;16.401;2776.21;2774.63;47.8297;
518;16.416;2777.16;2774.63;47.8297;
519;16.43;2776.89;2774.63;47.8297;
520;16.442;2776.89;2774.63;47.8297;
521;16.458;2776.89;2774.63;47.8297;
522;16.47;2776.89;2774.63;47.8297;
523;16.485;2777.66;2774.63;47.8297;
524;16.501;2789.06;2774.63;47.8297;
525;16.512;2789.33;2774.63;47.8297;
526;16.526;2789.06;2774.63;47.8297;
527;16.542;2788.22;2774.63;47.8297;
528;16.557;2788.22;2774.63;47.8297;
529;16.569;2787.63;2774.63;47.8297;
530;16.579;2787.9;2774.63;47.8297;
531;16.595;2776.5;2774.63;47.8297;
532;16.673;2765.58;2765.58;47.8297;
533;16.694;2765.85;2765.58;47.8297;
534;16.774;2765.3;2765.3;47.8297;
535;16.851;2765.02;2765.02;47.8297;
536;16.93;2763.57;2763.57;47.8297;
537;16.952;2763.57;2763.57;47.8297;
538;16.964;2767.25;2763.57;47.8297;
539;16.978;2767.25;2763.57;47.8297;
540;16.992;2766.98;2763.57;47.8297;
541;17.012;2767.26;2763.57;47.8297;
542;17.025;2767.21;2763.57;47.8297;
543;17.044;2767.21;2763.57;47.8297;
544;17.057;2766.38;2763.57;47.8297;
545;17.073;2763.89;2763.57;47.8297;
546;17.088;2763.89;2763.57;43.0467;
547;17.168;2763.41;2763.41;43.0467;
548;17.246;2757.63;2757.63;43.0467;
549;17.261;2757.63;2757.63;43.0467;
550;17.276;2769.26;2757.63;43.0467;
551;17.288;2769.26;2757.63;43.0467;
552;17.303;2769.31;2757.63;43.0467;
553;17.317;2768.54;2757.63;43.0467;
554;17.328;2774.31;2757.63;43.0467;
555;17.343;2774.34;2757.63;43.0467;
556;17.354;2768.56;2757.63;43.0467;
557;17.368;2768.54;2757.63;43.0467;
558;17.383;2768.26;2757.63;43.0467;
559;17.395;2769.04;2757.63;43.0467;
560;17.407;2769.5;2757.63;43.0467;
561;17.421;2766.74;2757.63;43.0467;
562;17.432;2767.23;2757.63;43.0467;
563;17.447;2773;2757.63;43.0467;
564;17.459;2772.98;2757.63;43.0467;
565;17.472;2764.65;2757.63;43.0467;
566;17.487;2764.92;2757.63;43.0467;
567;17.499;2762.58;2757.63;43.0467;
568;17.512;2762.1;2757.63;43.0467;
569;17.529;2761.82;2757.63;43.0467;
570;17.546;2762.94;2757.63;43.0467;
571;17.557;2766.45;2757.63;43.0467;
572;17.572;2766.47;2757.63;43.0467;
573;17.652;2754.84;2754.84;43.0467;
574;17.733;2754.82;2754.82;43.0467;
575;17.748;2755.1;2754.82;43.0467;
576;17.764;2755.1;2754.82;43.0467;
577;17.843;2751.59;2751.59;43.0467;
578;17.92;2751.31;2751.31;43.0467;
579;17.936;2751.59;2751.31;43.0467;
580;17.951;2751.59;2751.31;43.0467;
581;18.032;2747.91;2747.91;43.0467;
582;18.047;2750.41;2747.91;43.0467;
583;18.066;2750.13;2747.91;43.0467;
584;18.078;2753.82;2747.91;43.0467;
585;18.095;2755.59;2747.91;43.0467;
586;18.116;2755.59;2747.91;43.0467;
587;18.128;2755.41;2747.91;43.0467;
588;18.146;2755.49;2747.91;43.0467;
589;18.16;2753.71;2747.91;43.0467;
590;18.171;2753.71;2747.91;43.0467;
591;18.189;2765.34;2747.91;43.0467;
592;18.207;2765.62;2747.91;43.0467;
593;18.23;2765.67;2747.91;43.0467;
594;18.25;2765.6;2747.91;43.0467;
595;18.268;2767.76;2747.91;43.0467;
596;18.284;2767.49;2747.91;43.0467;
597;18.302;2767.5;2747.91;43.0467;
598;18.315;2767.78;2747.91;43.0467;
599;18.333;2767.5;2747.91;43.0467;
600;18.353;2768.81;2747.91;43.0467;
601;18.376;2762.53;2747.91;43.0467;
602;18.39;2764.63;2747.91;43.0467;
603;18.402;2758.85;2747.91;43.0467;
604;18.483;2743.79;2743.79;43.0467;
605;18.566;2743.75;2743.75;43.0467;
606;18.577;2744.08;2743.75;43.0467;
607;18.596;2744.56;2743.75;43.0467;
608;18.611;2744.84;2743.75;43.0467;
609;18.695;2737.65;2737.65;43.0467;
610;18.706;2737.65;2737.65;43.0467;
611;18.726;2737.65;2737.65;43.0467;
612;18.81;2726.25;2726.25;38.742;
613;18.894;2720.47;2720.47;38.742;
614;18.904;2724.05;2720.47;38.742;
615;18.918;2723.77;2720.47;38.742;
616;18.932;2724.05;2720.47;38.742;
617;19.01;2720.37;2720.37;38.742;
618;19.092;2720.09;2720.09;38.742;
619;19.182;2719.61;2719.61;38.742;
620;19.195;2721.06;2719.61;38.742;
621;19.213;2732.47;2719.61;38.742;
622;19.237;2732.47;2719.61;38.742;
623;19.248;2731.82;2719.61;38.742;
624;19.264;2732.91;2719.61;38.742;
625;19.283;2733.02;2719.61;38.742;
626;19.3;2733.5;2719.61;38.742;
627;19.316;2738.14;2719.61;38.742;
628;19.331;2735.61;2719.61;38.742;
629;19.35;2735.64;2719.61;38.742;
630;19.366;2732.13;2719.61;38.742;
631;19.38;2731.66;2719.61;38.742;
632;19.391;2730.57;2719.61;38.742;
633;19.409;2730.25;2719.61;38.742;
634;19.423;2730.51;2719.61;38.742;
635;19.441;2731.6;2719.61;38.742;
636;19.459;2731.6;2719.61;38.742;
637;19.475;2731.6;2719.61;38.742;
638;19.491;2731.58;2719.61;38.742;
639;19.508;2731.08;2719.61;38.742;
640;19.523;2734.3;2719.61;38.742;
641;19.542;2731.27;2719.61;38.742;
642;19.556;2729.82;2719.61;38.742;
643;19.57;2729.82;2719.61;38.742;
644;19.589;2727.91;2719.61;38.742;
645;19.609;2740.54;2719.61;38.742;
646;19.626;2740.55;2719.61;38.742;
647;19.645;2728.92;2719.61;38.742;
648;19.659;2725.7;2719.61;38.742;
649;19.671;2725.53;2719.61;38.742;
650;19.689;2724.44;2719.61;38.742;
651;19.705;2725;2719.61;38.742;
652;19.726;2724.44;2719.61;38.742;
653;19.741;2724.44;2719.61;38.742;
654;19.753;2724.52;2719.61;38.742;
655;19.768;2728.06;2719.61;38.742;
656;19.784;2728.24;2719.61;38.742;
657;19.802;2728.79;2719.61;38.742;
658;19.815;2735.32;2719.61;38.742;
659;19.827;2735.32;2719.61;38.742;
660;19.844;2728.79;2719.61;38.742;
661;19.86;2726.15;2719.61;38.742;
662;19.876;2726.15;2719.61;38.742;
663;19.892;2726.15;2719.61;38.742;
664;19.908;2726.15;2719.61;38.742;
665;19.922;2728.8;2719.61;38.742;
666;19.94;2729.89;2719.61;38.742;
667;19.957;2729.89;2719.61;38.742;
668;19.973;2729.51;2719.61;38.742;
669;19.984;2730.34;2719.61;38.742;
670;20.001;2730.34;2719.61;38.742;
671;20.016;2730.34;2719.61;38.742;
672;20.032;2729.78;2719.61;38.742;
673;20.043;2729.78;2719.61;38.742;
674;20.056;2729.02;2719.61;38.742;
675;20.071;2731.55;2719.61;38.742;
676;20.086;2732.1;2719.61;38.742;
