i;t;s;bs;T;
1;0.015;4778.14;inf;100;
2;0.099;4657.53;4657.53;100;
3;0.182;4430.6;4430.6;100;
4;0.264;4375.5;4375.5;100;
5;0.346;4375.17;4375.17;100;
6;0.429;4308.3;4308.3;100;
7;0.44;4308.3;4308.3;100;
8;0.523;4197.94;4197.94;100;
9;0.536;4197.94;4197.94;100;
10;0.616;4133.06;4133.06;100;
11;0.698;4098.56;4098.56;100;
12;0.71;4098.56;4098.56;100;
13;0.794;3889.13;3889.13;100;
14;0.875;3883.36;3883.36;100;
15;0.891;3883.36;3883.36;100;
16;0.911;3922.09;3883.36;100;
17;0.996;3883.25;3883.25;100;
18;1.079;3821.82;3821.82;100;
19;1.161;3783.09;3783.09;100;
20;1.244;3755.87;3755.87;100;
21;1.259;3755.87;3755.87;100;
22;1.271;3755.87;3755.87;100;
23;1.289;3755.87;3755.87;100;
24;1.369;3728.41;3728.41;100;
25;1.454;3725.74;3725.74;100;
26;1.537;3724.35;3724.35;100;
27;1.617;3702;3702;100;
28;1.635;3702.9;3702;100;
29;1.653;3702.9;3702;100;
30;1.669;3702.9;3702;100;
31;1.685;3702.9;3702;100;
32;1.768;3634.49;3634.49;100;
33;1.857;3603.15;3603.15;100;
34;1.942;3596.09;3596.09;100;
35;1.959;3600.83;3596.09;100;
36;1.977;3604.32;3596.09;100;
37;2.06;3577.86;3577.86;100;
38;2.142;3559.42;3559.42;100;
39;2.227;3473.57;3473.57;100;
40;2.248;3474.65;3473.57;100;
41;2.329;3441.16;3441.16;100;
42;2.416;3425.49;3425.49;100;
43;2.499;3417.51;3417.51;100;
44;2.51;3417.51;3417.51;100;
45;2.592;3378.89;3378.89;100;
46;2.674;3377.63;3377.63;100;
47;2.759;3363.72;3363.72;100;
48;2.772;3363.72;3363.72;100;
49;2.783;3365.42;3363.72;100;
50;2.802;3388.18;3363.72;100;
51;2.82;3400.39;3363.72;100;
52;2.831;3400.69;3363.72;100;
53;2.851;3390.85;3363.72;100;
54;2.867;3390.85;3363.72;100;
55;2.886;3390.85;3363.72;100;
56;2.901;3391.12;3363.72;100;
57;2.917;3383.75;3363.72;100;
58;2.994;3329.89;3329.89;100;
59;3.009;3331.63;3329.89;100;
60;3.02;3329.92;3329.89;100;
61;3.102;3316.93;3316.93;100;
62;3.113;3319.6;3316.93;100;
63;3.197;3316.81;3316.81;100;
64;3.279;3315.9;3315.9;100;
65;3.361;3314.53;3314.53;100;
66;3.447;3291.77;3291.77;100;
67;3.464;3330.5;3291.77;100;
68;3.48;3313.95;3291.77;100;
69;3.496;3304.21;3291.77;100;
70;3.51;3304.21;3291.77;100;
71;3.527;3292.56;3291.77;100;
72;3.545;3294.21;3291.77;90;
73;3.63;3291.62;3291.62;90;
74;3.711;3286.97;3286.97;90;
75;3.795;3286.31;3286.31;90;
76;3.875;3286.08;3286.08;90;
77;3.894;3286.66;3286.08;90;
78;3.91;3286.66;3286.08;90;
79;3.996;3283.95;3283.95;90;
80;4.008;3285.54;3283.95;90;
81;4.022;3285.54;3283.95;90;
82;4.102;3277.55;3277.55;90;
83;4.116;3280.59;3277.55;90;
84;4.139;3279.27;3277.55;90;
85;4.15;3279.69;3277.55;90;
86;4.167;3285.8;3277.55;90;
87;4.183;3285.21;3277.55;90;
88;4.199;3284.3;3277.55;90;
89;4.276;3225.25;3225.25;90;
90;4.293;3237.99;3225.25;90;
91;4.307;3229.33;3225.25;90;
92;4.321;3229.33;3225.25;90;
93;4.403;3216.6;3216.6;90;
94;4.417;3217.51;3216.6;90;
95;4.496;3216.07;3216.07;90;
96;4.512;3216.65;3216.07;90;
97;4.523;3216.51;3216.07;90;
98;4.603;3213.57;3213.57;90;
99;4.625;3213.57;3213.57;90;
100;4.639;3213.57;3213.57;90;
101;4.658;3226.31;3213.57;90;
102;4.671;3226.31;3213.57;90;
103;4.689;3226.31;3213.57;90;
104;4.702;3217.44;3213.57;90;
105;4.717;3217.44;3213.57;90;
106;4.795;3213.48;3213.48;90;
107;4.874;3163.61;3163.61;90;
108;4.891;3163.75;3163.61;90;
109;4.902;3164.01;3163.61;90;
110;4.984;3161.98;3161.98;90;
111;4.997;3165.1;3161.98;90;
112;5.082;3161.77;3161.77;90;
113;5.094;3162.92;3161.77;90;
114;5.176;3160.3;3160.3;90;
115;5.26;3119.75;3119.75;90;
116;5.344;3118.59;3118.59;90;
117;5.432;3106.89;3106.89;90;
118;5.445;3106.89;3106.89;90;
119;5.525;3076.52;3076.52;90;
120;5.54;3077.69;3076.52;90;
121;5.621;3069.82;3069.82;90;
122;5.641;3070.92;3069.82;90;
123;5.724;3063.13;3063.13;90;
124;5.736;3063.13;3063.13;90;
125;5.752;3063.13;3063.13;90;
126;5.837;3063.08;3063.08;90;
127;5.852;3066.16;3063.08;90;
128;5.935;3063.04;3063.04;90;
129;5.95;3064.34;3063.04;90;
130;5.962;3064.34;3063.04;90;
131;5.977;3072.37;3063.04;90;
132;5.995;3072.37;3063.04;90;
133;6.012;3071.07;3063.04;90;
134;6.022;3072.75;3063.04;90;
135;6.041;3071.07;3063.04;90;
136;6.055;3071.07;3063.04;90;
137;6.068;3071.07;3063.04;90;
138;6.091;3074.19;3063.04;81;
139;6.105;3066.17;3063.04;81;
140;6.124;3066.17;3063.04;81;
141;6.141;3065.07;3063.04;81;
142;6.22;3061.99;3061.99;81;
143;6.303;3061.82;3061.82;81;
144;6.315;3062.92;3061.82;81;
145;6.335;3068.07;3061.82;81;
146;6.347;3065.73;3061.82;81;
147;6.366;3062.8;3061.82;81;
148;6.447;3057.45;3057.45;81;
149;6.459;3060.57;3057.45;81;
150;6.477;3057.45;3057.45;81;
151;6.559;3053.86;3053.86;81;
152;6.639;3049.04;3049.04;81;
153;6.658;3051.38;3049.04;81;
154;6.675;3050.85;3049.04;81;
155;6.694;3051.16;3049.04;81;
156;6.774;3048.39;3048.39;81;
157;6.858;3044.85;3044.85;81;
158;6.941;3041.02;3041.02;81;
159;7.026;3040.64;3040.64;81;
160;7.108;3037.5;3037.5;81;
161;7.127;3037.5;3037.5;81;
162;7.143;3037.5;3037.5;81;
163;7.224;3036.4;3036.4;81;
164;7.236;3039.05;3036.4;81;
165;7.252;3036.7;3036.4;81;
166;7.267;3036.7;3036.4;81;
167;7.277;3036.87;3036.4;81;
168;7.293;3036.87;3036.4;81;
169;7.307;3036.78;3036.4;81;
170;7.319;3037.88;3036.4;81;
171;7.33;3040.96;3036.4;81;
172;7.346;3040.96;3036.4;81;
173;7.359;3046.31;3036.4;81;
174;7.374;3046.66;3036.4;81;
175;7.39;3046.66;3036.4;81;
176;7.403;3043.68;3036.4;81;
177;7.418;3043.68;3036.4;81;
178;7.43;3043.18;3036.4;81;
179;7.445;3042.46;3036.4;81;
180;7.457;3041.36;3036.4;81;
181;7.472;3041.36;3036.4;81;
182;7.489;3038.94;3036.4;81;
183;7.566;3033.71;3033.71;81;
184;7.648;3021.67;3021.67;81;
185;7.665;3023.21;3021.67;81;
186;7.748;3020.53;3020.53;81;
187;7.828;3017.94;3017.94;81;
188;7.911;3017.6;3017.6;81;
189;7.924;3018.49;3017.6;81;
190;7.943;3023.73;3017.6;81;
191;7.961;3024.11;3017.6;81;
192;7.972;3029.46;3017.6;81;
193;7.99;3024.55;3017.6;81;
194;8.003;3030.21;3017.6;81;
195;8.015;3030.92;3017.6;81;
196;8.031;3029.38;3017.6;81;
197;8.046;3024.87;3017.6;81;
198;8.061;3026.32;3017.6;81;
199;8.074;3026.32;3017.6;81;
200;8.088;3026.32;3017.6;81;
201;8.102;3025.63;3017.6;81;
202;8.115;3027.17;3017.6;81;
203;8.128;3025.74;3017.6;81;
204;8.14;3025.4;3017.6;81;
205;8.156;3025.4;3017.6;81;
206;8.172;3025.33;3017.6;81;
207;8.187;3021.33;3017.6;81;
208;8.199;3019.87;3017.6;81;
209;8.213;3019.87;3017.6;72.9;
210;8.228;3023.66;3017.6;72.9;
211;8.241;3022.12;3017.6;72.9;
212;8.255;3022.18;3017.6;72.9;
213;8.267;3022.03;3017.6;72.9;
214;8.281;3021.14;3017.6;72.9;
215;8.295;3019.22;3017.6;72.9;
216;8.309;3019.22;3017.6;72.9;
217;8.327;3019.22;3017.6;72.9;
218;8.342;3022.15;3017.6;72.9;
219;8.36;3022.9;3017.6;72.9;
220;8.381;3021.16;3017.6;72.9;
221;8.465;3017.37;3017.37;72.9;
222;8.552;3014.44;3014.44;72.9;
223;8.564;3016.5;3014.44;72.9;
224;8.585;3016.5;3014.44;72.9;
225;8.597;3017.39;3014.44;72.9;
226;8.679;2976.5;2976.5;72.9;
227;8.763;2974.08;2974.08;72.9;
228;8.774;2974.41;2974.08;72.9;
229;8.856;2973.06;2973.06;72.9;
230;8.871;2973.43;2973.06;72.9;
231;8.889;2974.48;2973.06;72.9;
232;8.901;2974.25;2973.06;72.9;
233;8.923;2974.25;2973.06;72.9;
234;9.009;2967.72;2967.72;72.9;
235;9.093;2966.92;2966.92;72.9;
236;9.112;2967.14;2966.92;72.9;
237;9.126;2966.92;2966.92;72.9;
238;9.211;2966.05;2966.05;72.9;
239;9.293;2965.76;2965.76;72.9;
240;9.31;2965.76;2965.76;72.9;
241;9.329;2965.76;2965.76;72.9;
242;9.414;2964.1;2964.1;72.9;
243;9.428;2964.1;2964.1;72.9;
244;9.444;2964.22;2964.1;72.9;
245;9.457;2964.91;2964.1;72.9;
246;9.472;2965.7;2964.1;72.9;
247;9.491;2967.71;2964.1;72.9;
248;9.503;2965.56;2964.1;72.9;
249;9.52;2965.71;2964.1;72.9;
250;9.533;2965.71;2964.1;72.9;
251;9.545;2965.71;2964.1;72.9;
252;9.56;2969.39;2964.1;72.9;
253;9.638;2962.53;2962.53;72.9;
254;9.652;2966;2962.53;72.9;
255;9.666;2965.82;2962.53;72.9;
256;9.678;2965.82;2962.53;72.9;
257;9.694;2963.77;2962.53;72.9;
258;9.771;2959.99;2959.99;72.9;
259;9.785;2966.11;2959.99;72.9;
260;9.796;2965.41;2959.99;72.9;
261;9.81;2965.21;2959.99;72.9;
262;9.821;2965.26;2959.99;72.9;
